ground_truth,student_answer,label,ngram_overlap,lcs_ratio,length_ratio,score_multilingual_mpnet,score_multilingual_minilm,score_vi_sbert
Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.,"Vật đang đứng yên hay đang chạy đều thì cứ giữ y như vậy nếu không có lực nào tác động, hoặc các lực tác động triệt tiêu nhau.",dung,0.029411764705882353,0.23333333333333334,0.8666666666666667,0.9048119,0.8771628,0.80523086
Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.,"Em nghĩ là khi hợp lực tác dụng lên vật bằng 0 thì vật sẽ không thay đổi vận tốc, tức là nếu nó đang đứng yên thì tiếp tục đứng yên, còn nếu đang chuyển động thì tiếp tục đi thẳng với tốc độ không đổi.",dung,0.014925373134328358,0.3,1.3666666666666667,0.8592344,0.783707,0.7410195
Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.,Nếu một vật không chịu tác dụng của lực nào hoặc các lực tác dụng có hợp lực bằng không thì vật sẽ giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.,hoc_vet,0.602124183006536,0.9,0.9666666666666667,0.99719995,0.9950442,0.9887553
Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.,Một vật không chịu lực nào tác dụng hoặc hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hay chuyển động thẳng đều của nó.,hoc_vet,0.2764227642276423,0.6333333333333333,0.8,0.9749759,0.9606984,0.92561316
Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.,"Định luật 1 Newton nói là vật nào cũng cần có lực tác dụng thì mới chuyển động được, không có lực thì vật sẽ dừng lại.",sai,0.009433962264150943,0.23333333333333334,0.8666666666666667,0.8025256,0.80033237,0.701484
"Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Lực càng lớn thì vật tăng tốc càng nhanh, còn vật càng nặng thì càng khó tăng tốc, công thức là F=ma.",dung,0.028483309143686502,0.21212121212121213,0.7272727272727273,0.82352823,0.80395615,0.7066773
"Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Gia tốc mà vật thu được sẽ phụ thuộc vào lực tác dụng lên nó, lực lớn thì gia tốc lớn theo tỉ lệ thuận, nhưng nếu khối lượng vật lớn thì gia tốc lại nhỏ đi, quan hệ này thể hiện qua công thức a = F/m.",dung,0.02093114241001565,0.36363636363636365,1.303030303030303,0.8855839,0.8538232,0.7369444
"Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Gia tốc của vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với lực và tỉ lệ nghịch với khối lượng vật, F=ma.",hoc_vet,0.4837837837837838,0.7878787878787878,0.8181818181818182,0.9639024,0.9825976,0.947657
"Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Gia tốc của một vật tỉ lệ thuận với độ lớn lực tác dụng và tỉ lệ nghịch với khối lượng của vật, cùng hướng với lực đó.",hoc_vet,0.32957393483709274,0.48484848484848486,0.696969696969697,0.9299306,0.9285704,0.8926835
"Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Định luật 2 Newton là lực tác dụng lên vật sẽ tỉ lệ thuận với vận tốc của vật, vật chạy càng nhanh thì lực càng lớn.",sai,0.08083233293317327,0.2727272727272727,0.7272727272727273,0.7751889,0.6857743,0.7807313
"Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).",Hễ vật này đẩy vật kia một lực thì vật kia cũng đẩy ngược lại vật này một lực bằng như vậy nhưng hướng ngược lại.,dung,0.05357142857142857,0.2894736842105263,0.631578947368421,0.80697495,0.7114073,0.72491646
"Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Em hiểu là hai vật tương tác với nhau thì sẽ luôn có một cặp lực xuất hiện đồng thời, hai lực đó bằng nhau về độ lớn, nằm trên cùng một đường thẳng nhưng chiều thì ngược nhau, và chúng không triệt tiêu nhau vì đặt vào hai vật khác nhau.",dung,0.011764705882352941,0.3157894736842105,1.3421052631578947,0.7805322,0.6936454,0.6172373
"Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng lại vật A một lực, hai lực này cùng giá, cùng độ lớn nhưng ngược chiều.",hoc_vet,0.6004983388704319,0.8157894736842105,0.868421052631579,0.98591226,0.98486346,0.96171343
"Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Vật A tác dụng lên vật B một lực thì vật B tác dụng trở lại vật A một lực, hai lực có cùng độ lớn, cùng giá, ngược chiều nhau.",hoc_vet,0.35801963993453356,0.631578947368421,0.8421052631578947,0.98200065,0.9731729,0.96094126
"Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Định luật 3 Newton nghĩa là hai lực tác dụng và phản tác dụng triệt tiêu nhau nên vật đứng yên, không chuyển động được.",sai,0.00909090909090909,0.13157894736842105,0.5263157894736842,0.59063697,0.5906249,0.55192083
