"question_id","subject","concept","ground_truth","student_answer","label"
"1","Vật lý 10","Định luật 1 Newton (quán tính)","Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.","Vật đang đứng yên hay đang chạy đều thì cứ giữ y như vậy nếu không có lực nào tác động, hoặc các lực tác động triệt tiêu nhau.","dung"
"2","Vật lý 10","Định luật 1 Newton (quán tính)","Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.","Em nghĩ là khi hợp lực tác dụng lên vật bằng 0 thì vật sẽ không thay đổi vận tốc, tức là nếu nó đang đứng yên thì tiếp tục đứng yên, còn nếu đang chuyển động thì tiếp tục đi thẳng với tốc độ không đổi.","dung"
"3","Vật lý 10","Định luật 1 Newton (quán tính)","Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.","Nếu một vật không chịu tác dụng của lực nào hoặc các lực tác dụng có hợp lực bằng không thì vật sẽ giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.","hoc_vet"
"4","Vật lý 10","Định luật 1 Newton (quán tính)","Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.","Một vật không chịu lực nào tác dụng hoặc hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hay chuyển động thẳng đều của nó.","hoc_vet"
"5","Vật lý 10","Định luật 1 Newton (quán tính)","Nếu một vật không chịu tác dụng của lực nào hoặc chịu tác dụng của các lực có hợp lực bằng không thì vật giữ nguyên trạng thái đứng yên hoặc chuyển động thẳng đều.","Định luật 1 Newton nói là vật nào cũng cần có lực tác dụng thì mới chuyển động được, không có lực thì vật sẽ dừng lại.","sai"
"6","Vật lý 10","Định luật 2 Newton (F=ma)","Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Lực càng lớn thì vật tăng tốc càng nhanh, còn vật càng nặng thì càng khó tăng tốc, công thức là F=ma.","dung"
"7","Vật lý 10","Định luật 2 Newton (F=ma)","Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Gia tốc mà vật thu được sẽ phụ thuộc vào lực tác dụng lên nó, lực lớn thì gia tốc lớn theo tỉ lệ thuận, nhưng nếu khối lượng vật lớn thì gia tốc lại nhỏ đi, quan hệ này thể hiện qua công thức a = F/m.","dung"
"8","Vật lý 10","Định luật 2 Newton (F=ma)","Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Gia tốc của vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với lực và tỉ lệ nghịch với khối lượng vật, F=ma.","hoc_vet"
"9","Vật lý 10","Định luật 2 Newton (F=ma)","Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Gia tốc của một vật tỉ lệ thuận với độ lớn lực tác dụng và tỉ lệ nghịch với khối lượng của vật, cùng hướng với lực đó.","hoc_vet"
"10","Vật lý 10","Định luật 2 Newton (F=ma)","Gia tốc của một vật cùng hướng với lực tác dụng lên vật, có độ lớn tỉ lệ thuận với độ lớn của lực và tỉ lệ nghịch với khối lượng của vật (F = ma).","Định luật 2 Newton là lực tác dụng lên vật sẽ tỉ lệ thuận với vận tốc của vật, vật chạy càng nhanh thì lực càng lớn.","sai"
"11","Vật lý 10","Định luật 3 Newton (tác dụng - phản tác dụng)","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Hễ vật này đẩy vật kia một lực thì vật kia cũng đẩy ngược lại vật này một lực bằng như vậy nhưng hướng ngược lại.","dung"
"12","Vật lý 10","Định luật 3 Newton (tác dụng - phản tác dụng)","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Em hiểu là hai vật tương tác với nhau thì sẽ luôn có một cặp lực xuất hiện đồng thời, hai lực đó bằng nhau về độ lớn, nằm trên cùng một đường thẳng nhưng chiều thì ngược nhau, và chúng không triệt tiêu nhau vì đặt vào hai vật khác nhau.","dung"
"13","Vật lý 10","Định luật 3 Newton (tác dụng - phản tác dụng)","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng lại vật A một lực, hai lực này cùng giá, cùng độ lớn nhưng ngược chiều.","hoc_vet"
